Title,Genre,Year,Runtime,IMDB,Language
My Own Man,Documentary,2014,81,6.4,English
A Very Murray Christmas,Musical,2015,56,5.5,English
Beasts of No Nation,Drama,2015,136,7.7,English
Hot Girls Wanted,Documentary,2015,84,6.1,English
Keith Richards: Under the Influence,Documentary,2015,81,7.1,English
The Other One: The Long Strange Trip of Bob Weir,Documentary,2015,83,7.3,English
The Ridiculous 6,Comedy,2015,119,4.8,English
Tig,Documentary,2015,80,7.4,English
"What Happened, Miss Simone?",Documentary,2015,84,7.6,English
Winter on Fire: Ukraine's Fight for Freedom,Documentary,2015,91,8.4,English
13th,Documentary,2016,100,8.2,English
7 años,Drama,2016,76,6.8,Spanish
Amanda Knox,Documentary,2016,92,6.9,English
ARQ,Science fiction,2016,88,6.4,English
Audrie & Daisy,Documentary,2016,98,7.2,English
Barry,Documentary,2016,104,5.8,English
Brahman Naman,Comedy,2016,95,5.6,English
Extremis,Documentary,2016,24,7.3,English
I Am the Pretty Thing That Lives in the House,Horror,2016,89,4.6,English
I'll Sleep When I'm Dead,Documentary,2016,79,6.6,English
Into the Inferno,Documentary,2016,107,7.2,English
Justin Timberlake + The Tennessee Kids,Variety Show,2016,90,7.7,English
Mascots,Documentary,2016,95,5.8,English
Mercy,Thriller,2016,90,4.2,English
My Beautiful Broken Brain,Documentary,2016,91,7.1,English
Pee-wee's Big Holiday,Action,2016,89,6.1,English
Rebirth,Thriller,2016,100,5,English
Sky Ladder: The Art of Cai Guo-Qiang,Documentary,2016,79,7.3,English
Special Correspondents,Comedy,2016,100,5.8,English
Spectral,Science fiction,2016,108,6.3,English
Tallulah,Comedy,2016,111,6.7,English
Team Foxcatcher,Documentary,2016,90,7.3,English
The Do-Over,Action,2016,108,5.7,English
The Fundamentals of Caring,Comedy,2016,97,7.3,English
The Ivory Game,Documentary,2016,112,7.9,English
The Siege of Jadotville,Drama,2016,108,7.2,English
The White Helmets,Documentary,2016,40,7.5,English
Tony Robbins: I Am Not Your Guru,Documentary,2016,116,6.7,English
True Memoirs of an International Assassin,Action,2016,98,5.9,English
XOXO,Drama,2016,92,5.3,English
1922,Horror,2017,102,6.3,English
#REALITYHIGH,Comedy,2017,99,5.2,English
13th: A Conversation with Oprah Winfrey & Ava DuVernay,Documentary,2017,36,7.1,English
A Christmas Prince,Romance,2017,92,5.8,English
"Barbra: The Music, The Mem'ries, The Magic!",Variety Show,2017,108,7.5,English
Bomb Scared,Comedy,2017,89,5.6,Spanish
Bright,Action,2017,117,6.3,English
Burning Sands,Drama,2017,102,6.1,English
Casting JonBenet,Documentary,2017,80,6.1,English
Chasing Coral ,Documentary,2017,89,8.1,English
Christmas Inheritance,Romance,2017,104,5.7,English
Clinical,Thriller,2017,104,5.1,English
Coin Heist,Crime,2017,97,4.8,English
CounterPunch ,Documentary,2017,91,6.7,English
Cuba and the Cameraman ,Documentary,2017,114,8.3,English
Death Note,Horror,2017,100,4.4,English
Deidra & Laney Rob a Train,Drama,2017,94,6.1,English
El Camino Christmas,Comedy,2017,89,5.7,English
First They Killed My Father,Drama,2017,136,7.2,English
Gaga: Five Foot Two,Documentary,2017,100,7,English
Gerald's Game,Horror,2017,103,6.5,English
Get Me Roger Stone,Documentary,2017,101,7.3,English
Girlfriend's Day,Comedy,2017,70,5.2,English
Handsome: A Netflix Mystery Movie,Comedy,2017,81,5.2,English
Heroin(e) ,Documentary,2017,39,6.8,English
I Don't Feel at Home in This World Anymore,Drama,2017,96,6.9,English
iBoy,Science fiction,2017,90,6,English
Icarus,Documentary,2017,120,7.9,English
Imperial Dreams,Drama,2017,87,6.7,English
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Cliffton ",Documentary,2017,94,7.7,English
Joan Didion: The Center Will Not Hold,Documentary,2017,98,7.5,English
Joshua: Teenager vs. Superpower,Documentary,2017,78,7.1,English
Kingdom of Us,Documentary,2017,109,7,English
Laerte-se,Documentary,2017,100,6.9,Portuguese
Little Evil,Comedy,2017,94,5.7,English
Long Shot,Documentary,2017,40,7.4,English
"Michael Bolton's Big, Sexy, Valentine's Day Special",Variety Show,2017,54,6.7,English
Naked,Comedy,2017,96,5.4,English
Nobody Speak: Trials of the Free Press,Documentary,2017,95,6.5,English
Okja,Action,2017,121,7.3,English
One of Us,Documentary,2017,95,7.1,English
Our Souls at Night,Romance,2017,103,6.9,English
Resurface,Documentary,2017,27,7,English
Rodney King,Documentary,2017,52,5.8,English
Sand Castle,Drama,2017,113,6.3,English
Sandy Wexler,Comedy,2017,131,5.2,English
Saving Capitalism,Documentary,2017,73,6.8,English
Shimmer Lake,Crime,2017,86,6.3,English
Small Crimes,Comedy,2017,95,5.8,English
Strong Island,Documentary,2017,107,6.4,English
Take the 10,Comedy,2017,80,4.8,English
The Babysitter,Horror,2017,85,6.3,English
The Death and Life of Marsha P. Johnson,Documentary,2017,105,7.3,English
The Discovery,Science fiction,2017,102,6.3,English
The Incredible Jessica James,Comedy,2017,83,6.5,English
The Killer,Action,2017,99,6.1,Portuguese
The Mars Generation,Documentary,2017,97,6.4,English
The Meyerowitz Stories (New and Selected),Comedy,2017,112,6.9,English
The Most Hated Woman in America,Documentary,2017,92,6.1,English
To the Bone,Drama,2017,107,6.8,English
Tramps,Romance,2017,83,6.5,English
Voyuer ,Documentary,2017,95,6.2,English
War Machine,Drama,2017,122,6,English
Wheelman,Action,2017,82,6.4,English
Win It All,Comedy,2017,88,6.2,English
5 Star Christmas,Comedy,2018,95,4.6,Italian
6 Balloons,Drama,2018,75,5.9,English
A Christmas Prince: The Royal Wedding,Romance,2018,92,5.3,English
A Futile and Stupid Gesture,Comedy,2018,101,6.8,English
Alex Strangelove,Romance,2018,99,6.3,English
Amateur,Drama,2018,96,5.9,English
Angela's Christmas,Animation,2018,30,7.1,English
Apostle,Horror,2018,129,6.3,English
Been So Long,Musical,2018,100,5.5,English
Benji,Comedy,2018,87,6.3,English
Bird Box,Thriller,2018,124,6.6,English
Calibre,Thriller,2018,101,6.8,English
Cam,Horror,2018,94,5.9,English
Candy Jar,Comedy,2018,92,5.8,English
Cargo,Drama,2018,104,6.3,English
City of Joy,Documentary,2018,74,7.5,English
Come Sunday,Documentary,2018,106,6,English
Derren Brown: Sacrifice,Documentary,2018,49,7.1,English
Dude,Comedy,2018,97,5.1,English
End Game,Documentary,2018,40,7.1,English
Extinction,Science fiction,2018,95,5.8,English
Father of the Year,Comedy,2018,94,5.2,English
Feminists: What Were They Thinking?,Documentary,2018,86,7,English
First Match,Drama,2018,102,6.4,English
Forgive Us Our Debts,Drama,2018,104,6,Italian
"Game Over, Man!",Action,2018,101,5.4,English
Happy Anniversary,Romance,2018,78,5.8,English
Hold the Dark,Thriller,2018,125,5.6,English
How It Ends,Action,2018,113,5,English
I Am Not an Easy Man,Romance,2018,98,6.3,French
Ibiza,Comedy,2018,94,5.2,English
Irreplaceable You,Drama,2018,96,6.4,English
Ladies First,Documentary,2018,39,7.2,English
Like Father,Comedy,2018,103,6.1,English
Long Live Brij Mohan,Comedy,2018,105,6.8,Hindi
Loudon Wainwright III: Surviving Twin,Documentary,2018,91,7.1,English
Love per Square Foot,Romance,2018,133,7.2,Hindi
Lust Stories,Drama,2018,120,6.5,Hindi
Mercury 13,Documentary,2018,79,6.8,English
Mowgli: Legend of the Jungle,Action,2018,104,6.5,English
Mute,Science fiction,2018,126,5.5,English
Nappily Ever After,Comedy,2018,98,6.4,English
Notes from Dunblane: Lesson from a School Shooting,Documentary,2018,23,5.9,English
On My Skin,Crime,2018,100,7.3,Italian
"Out of Many, One",Documentary,2018,34,5.7,English
Outlaw King,Drama,2018,121,6.9,English
Paradox,Musical,2018,73,3.9,English
Porta dos Fundos: The Last Hangover,Comedy,2018,44,6.3,Portuguese
Private Life,Drama,2018,124,7.2,English
Quincy,Documentary,2018,124,7.6,English
Rajma Chawal,Comedy,2018,118,5.8,Hindi
"Ram Dass, Going Home",Documentary,2018,31,7.1,English
Recovery Boys,Documentary,2018,89,6.6,English
ReMastered: Tricky Dick & the Man in Black,Documentary,2018,58,7.1,English
ReMastered: Who Killed Jam Master Jay?,Documentary,2018,58,6.6,English
ReMastered: Who Shot the Sheriff?,Documentary,2018,57,6.9,English
Reversing Roe,Documentary,2018,99,7.5,English
Roma,Drama,2018,135,7.7,Spanish
Roxanne Roxanne,Documentary,2018,98,6.2,English
Seeing Allred,Documentary,2018,95,6.9,English
Set It Up,Romance,2018,105,6.5,English
Shirkers,Documentary,2018,97,7.4,English
Sierra Burgess Is a Loser,Romance,2018,105,5.8,English
Springsteen on Broadway,Documentary,2018,153,8.5,English
Step Sisters,Comedy,2018,108,5.5,English
Struggle: The Life and Lost Art of Szukaiski,Documentary,2018,105,8,English
Take Your Pills,Documentary,2018,87,6.4,English
TAU,Science fiction,2018,97,5.8,English
Taylor Swift: Reputation Stadium Tour,Variety Show,2018,125,8.4,English
The After Party,Comedy,2018,89,5.8,English
The American Meme,Documentary,2018,98,6.6,English
The Angel,Thriller,2018,114,6.6,English
The Ballad of Buster Scruggs,Drama,2018,132,7.3,English
The Bleeding Edge,Documentary,2018,100,7.6,English
The Christmas Chronicles,Comedy,2018,104,7,English
The Cloverfield Paradox,Science fiction,2018,102,5.5,English
The Holiday Calendar,Romance,2018,95,5.7,English
The Kissing Booth,Romance,2018,105,6,English
The Land of Steady Habits,Drama,2018,98,6.2,English
The Legacy of a Whitetail Deer Hunter,Comedy,2018,83,5.5,English
The Most Assassinated Woman in the World,Thriller,2018,102,5.3,French
The Open House,Horror,2018,94,3.2,English
The Other Side of the Wind,Drama,2018,122,6.8,English
The Outsider,Crime,2018,120,6.3,English
The Package,Comedy,2018,94,5.5,English
The Polka King,Comedy,2018,95,5.9,English
The Princess Switch,Romance,2018,101,6,English
The Rachel Divide,Documentary,2018,104,6.2,English
The Week Of,Comedy,2018,116,5.2,English
They'll Love Me When I'm Dead,Documentary,2018,98,7.4,English
To All the Boys I've Loved Before,Romance,2018,99,7.1,English
"To Each, Her Own",Romance,2018,95,5.3,French
Two Catalonias,Documentary,2018,116,6.4,Spanish
When We First Met,Romance,2018,97,6.4,English
Zion ,Documentary,2018,11,7.2,English
6 Underground,Action,2019,128,6.1,English
A 3 Minute Hug,Documentary,2019,28,6.5,English
A Christmas Prince: The Royal Baby,Romance,2019,85,5.4,English
A Tale of Two Kitchens,Documentary,2019,30,6.3,English
After Maria,Documentary,2019,37,4.6,English
After the Raid,Documentary,2019,25,4.3,Spanish
All in My Family,Documentary,2019,39,6.8,English
Always Be My Maybe,Romance,2019,102,6.8,English
American Factory,Documentary,2019,110,7.4,English
American Factory: A Conversation with the Obamas ,Documentary,2019,10,5.2,English
American Son,Drama,2019,90,5.8,English
Anima,Musical,2019,15,7.7,English
Antoine Griezmann: The Making of a Legend,Documentary,2019,60,6.5,French
Back to School,Comedy,2019,83,5.3,French
Beats,Drama,2019,110,7.1,English
Between Two Ferns: The Movie,Comedy,2019,82,6.1,English
"Bikram: Yogi, Guru, Predator",Documentary,2019,86,6.7,English
Birders,Documentary,2019,37,6.4,English
Brene Brown: The Call to Courage,Documentary,2019,76,7.7,English
Chopsticks,Comedy,2019,100,6.5,Hindi
Como Caído del Cielo,Musical,2019,112,6.4,Spanish
Dancing with the Birds,Documentary,2019,51,8.3,English
Despite Everything,Comedy,2019,78,5.4,Spanish
Dolemite Is My Name,Documentary,2019,118,7.3,English
Drive,Action,2019,147,3.5,Hindi
Earthquake Bird,Thriller,2019,107,5.9,English
El Camino: A Breaking Bad Movie,Crime,2019,121,7.3,English
El Pepe: A Supreme Life,Documentary,2019,73,7.1,Spanish
Eli,Horror,2019,98,5.7,English
Elisa & Marcela,Romance,2019,118,6.6,Spanish
Enter the Anime,Documentary,2019,58,2.5,English
Evelyn,Documentary,2019,96,7.1,English
Falling Inn Love,Romance,2019,97,5.6,English
Fire in Paradise,Documentary,2019,39,7.4,English
Fractured,Thriller,2019,100,6.4,English
"Frankenstein's Monster's Monster, Frankenstein",Documentary,2019,32,5.9,English
Fyre: The Greatest Party That Never Happened,Documentary,2019,97,7.2,English
Ghosts of Sugar Land,Documentary,2019,21,5.5,English
Good Sam,Drama,2019,89,5.7,English
Grass Is Greener,Documentary,2019,97,7.1,English
"Hello Privilege. It's Me, Chelsea",Documentary,2019,64,4.4,English
High Flying Bird,Drama,2019,90,6.2,English
Holiday in the Wild,Romance,2019,85,6.1,English
Holiday Rush,Comedy,2019,94,4.9,English
Homecoming: A Film by Beyonce ,Documentary,2019,137,7.5,English
House Arrest,Comedy,2019,104,5.5,Hindi
In the Shadow of the Moon,Thriller,2019,115,6.2,English
In the Tall Grass,Horror,2019,101,5.4,English
Invader Zim: Enter the Florpus,Animation,2019,71,7.5,English
IO,Science fiction,2019,95,4.7,English
It Takes a Lunatic,Documentary,2019,126,6.6,English
John Mulaney & the Sack Lunch Bunch,Variety Show,2019,70,7.5,English
Juanita,Drama,2019,90,6,English
Kevin Hart's Guide to Black History,Variety Show,2019,63,5.5,English
Klaus,Animation,2019,97,8.2,English
Knock Down the House,Documentary,2019,87,7.1,English
Let It Snow,Romance,2019,92,5.8,English
Life Overtakes Me,Documentary,2019,40,6.5,English
Lionheart,Comedy,2019,94,5.7,English
"Lorena, Light-Footed Woman",Documentary,2019,28,7,Spanish
Los Tigres del Norte at Folsom Prison,Documentary,2019,64,7,Spanish
Lovefucked,Drama,2019,106,6,Hindi
Marriage Story,Drama,2019,136,7.9,English
Murder Mystery,Comedy,2019,97,6,English
Music Teacher,Drama,2019,101,6.3,Hindi
Otherhood,Comedy,2019,100,6.1,English
Paddleton,Drama,2019,89,7.2,English
Parchis: The Documentary,Documentary,2019,106,6.7,Spanish
Paris Is Us,Romance,2019,83,4.6,French
Period. End of Sentence.,Documentary,2019,26,7.4,English
Point Blank,Action,2019,86,5.7,English
Polar,Action,2019,118,6.3,English
Porta dos Fundos: The First Temptation of Christ,Comedy,2019,46,4.6,Portuguese
Rattlesnake,Horror,2019,85,4.6,English
ReMastered: Devil at the Crossroads,Documentary,2019,48,7,English
ReMastered: Massacre at the Stadium,Documentary,2019,64,7.3,English
ReMastered: The Lion's Share,Documentary,2019,84,7,English
ReMastered: The Miami Showband Massacre,Documentary,2019,70,7,English
ReMastered: The Two Killings of Sam Cooke,Documentary,2019,64,7.3,English
Rim of the World,Science fiction,2019,98,5.2,English
Rocko's Modern Life: Static Cling,Animation,2019,45,7,English
Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere,Documentary,2019,144,7.6,English
Secret Obsession,Thriller,2019,97,4.4,English
See You Yesterday,Science fiction,2019,87,5.2,English
Seventeen,Comedy,2019,99,7.2,Spanish
Sextuplets,Comedy,2019,99,4.4,English
Someone Great,Romance,2019,92,6.2,English
Soni,Crime,2019,97,7.2,Hindi
Still Laugh-In: The Stars Celebrate,Variety Show,2019,60,5.2,English
Street Flow,Drama,2019,96,6.4,French
Sturgill Simpson Presents: Sound & Fury,Animation,2019,41,6.4,English
Tall Girl,Comedy,2019,102,5.2,English
Tell Me Who I Am,Documentary,2019,85,7.6,English
The App,Science fiction,2019,79,2.6,Italian
The Black Godfather,Documentary,2019,118,7.4,English
The Dirt,Documentary,2019,108,7,English
The Edge of Democracy,Documentary,2019,121,7.2,Portuguese
The Great Hack,Documentary,2019,114,7.1,English
The Highwaymen,Crime,2019,131,6.9,English
The Irishman,Crime,2019,209,7.8,English
The Irishman: In Conversation,Documentary,2019,23,7.4,English
The King,Drama,2019,140,7.2,English
The Knight Before Christmas,Romance,2019,92,5.5,English
The Last Laugh,Comedy,2019,98,5.6,English
The Laundromat,Comedy,2019,98,6.3,English
The Legend of Cocaine Island,Documentary,2019,87,6.3,English
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,Musical,2019,30,6.9,English
The Perfect Date,Romance,2019,89,5.8,English
The Perfection,Horror,2019,90,6.1,English
The Red Sea Diving Resort,Thriller,2019,130,6.6,English
The Road to El Camino: A Breaking Bad Movie,Documentary,2019,13,7.2,English
The Two Popes,Drama,2019,125,7.6,English
Travis Scott: Look Mom I Can Fly,Documentary,2019,85,6.3,English
Triple Frontier,Action,2019,125,6.4,English
Unicorn Store,Comedy,2019,92,5.5,English
Upstarts,Drama,2019,112,6.7,Hindi
Velvet Buzzsaw,Thriller,2019,112,5.7,English
Walk. Ride. Rodeo.,Drama,2019,99,6.4,English
Who Would You Take to a Deserted Island?,Drama,2019,93,5.3,Spanish
Wine Country,Comedy,2019,103,5.5,English
A Babysitter's Guide to Monster Hunting,Comedy,2020,98,5.4,English
A California Christmas,Romance,2020,107,5.8,English
A Fall from Grace,Thriller,2020,120,5.9,English
A Life of Speed: The Juan Manuel Fangio Story,Documentary,2020,92,6.8,Spanish
A Love Song for Latasha,Documentary,2020,19,6.8,English
A Secret Love,Documentary,2020,82,7.9,English
Airplane Mode,Comedy,2020,96,5,Portuguese
AK vs AK,Thriller,2020,108,6.9,Hindi
Alien Xmas,Animation,2020,42,6.2,English
All Day and a Night,Drama,2020,121,5.8,English
All the Bright Places,Romance,2020,108,6.5,English
All Together Now,Drama,2020,93,6.5,English
American Murder: The Family Next Door,Documentary,2020,82,7.2,English
Anelka: Misunderstood,Documentary,2020,94,6.4,French
Angela's Christmas Wish,Animation,2020,47,7.1,English
"Ariana Grande: Excuse Me, I Love You",Variety Show,2020,97,6.4,English
Athlete A,Documentary,2020,104,7.6,English
Becoming,Documentary,2020,89,6.8,English
Ben Platt: Live from Radio City Music Hall,Variety Show,2020,85,8.4,English
Bigflo & Oil: Hip Hop Frenzy,Documentary,2020,100,6.9,French
Bulbbul,Horror,2020,94,6.6,Hindi
Canvas ,Animation,2020,9,6.5,English
Choked: Paisa Bolta Hai,Drama,2020,114,5.8,Hindi
Circus of Books,Documentary,2020,92,7.1,English
Citation,Drama,2020,151,6.2,English
Class of '83,Drama,2020,98,5.8,Hindi
Coffee & Kareem,Action,2020,88,5.1,English
Cops and Robbers,Animation,2020,7,6.9,English
Crip Camp: A Disability Revolution,Documentary,2020,108,7.7,English
Da 5 Bloods,Drama,2020,155,6.5,English
Dad Wanted,Comedy,2020,102,5.7,Spanish
Dance Dreams: Hot Chocolate Nutcracker,Documentary,2020,80,7.1,English
Dangerous Lies,Thriller,2020,97,5.3,English
Dark Forces,Thriller,2020,81,2.6,Spanish
David Attenborough: A Life on Our Planet,Documentary,2020,83,9,English
Death to 2020,Comedy,2020,70,6.8,English
Desperados,Romance,2020,106,5.2,English
Dick Johnson Is Dead,Documentary,2020,90,7.5,English
Disclosure: Trans Lives on Screen,Documentary,2020,107,8.2,English
Dolly Kitty and Those Twinkling Stars,Drama,2020,120,5.4,Hindi
Dolly Parton's Christmas on the Square,Musical,2020,98,5.2,English
Earth and Blood,Action,2020,80,4.9,French
Emicida: AmarElo - It's All For Yesterday,Documentary,2020,89,8.6,Portuguese
Eurovision Song Contest: The Story of Fire Saga,Musical,2020,123,6.5,English
Extraction,Action,2020,117,6.7,English
Fatal Affair,Thriller,2020,89,4.5,English
Father Soldier Son,Documentary,2020,100,7.3,English
Fearless,Animation,2020,89,4.9,English
Feel the Beat,Comedy,2020,107,6.3,English
Ghost Stories,Horror,2020,144,4.3,Hindi
GIMS: On the Record,Documentary,2020,96,6.8,French
Ginny Weds Sunny,Romance,2020,125,5.7,Hindi
Giving Voice,Documentary,2020,90,6.7,English
Guillermo Vilas: Settling the Score,Documentary,2020,94,7.1,Spanish
Guilty,Thriller,2020,119,5.4,Hindi
Gunjan Saxena: The Kargil Girl,Drama,2020,112,5.3,Hindi
Have a Good Trip: Adventures in Psychedelics,Documentary,2020,85,6.8,English
Hillbilly Elegy,Drama,2020,117,6.7,English
His House,Thriller,2020,93,6.5,English
Holidate,Romance,2020,104,6.1,English
Horse Girl,Drama,2020,104,5.9,English
Hubie Halloween,Comedy,2020,103,5.2,English
If Anything Happens I Love You,Animation,2020,12,7.8,English
I'm No Longer Here,Drama,2020,105,7.3,Spanish
I'm No Longer Here: A Discussion with Guillermo del Toro and Alfonso Cuaron,Documentary,2020,14,7,English
I'm Thinking of Ending Things,Thriller,2020,134,6.6,English
Intuition,Thriller,2020,116,5.3,Spanish
Jingle Jangle: A Christmas Journey,Comedy,2020,119,6.5,English
John Was Trying to Contact Aliens,Documentary,2020,16,6.4,English
Just Another Christmas,Comedy,2020,101,6.7,Portuguese
Kaali Khuhi,Horror,2020,90,3.4,Hindi
LA Originals,Documentary,2020,92,7.2,English
Lost Bullet,Thriller,2020,92,6.2,French
Lost Girls,Crime,2020,95,6.1,English
Love Wedding Repeat,Romance,2020,100,5.5,English
"Love, Guaranteed",Romance,2020,91,5.6,English
Ludo,Comedy,2020,149,7.6,Hindi
Ma Rainey's Black Bottom,Drama,2020,94,7,English
Ma Rainey's Black Bottom: A Legacy Brought to Screen,Documentary,2020,31,7,English
Mank,Documentary,2020,132,6.9,English
Maska,Romance,2020,111,5.9,Hindi
Miss Americana,Documentary,2020,85,7.4,English
Mrs. Serial Killer,Thriller,2020,106,4.8,Hindi
Mucho Mucho Amor: The Legend of Walter Mercado ,Documentary,2020,96,7.3,Spanish
Murder to Mercy: The Cyntoia Brown Story,Documentary,2020,97,6.4,English
My Octopus Teacher,Documentary,2020,85,8.1,English
Nobody Knows I'm Here,Drama,2020,91,6.5,Spanish
Notes for My Son,Drama,2020,83,6.3,Spanish
Octonauts & the Caves of Sac Actun,Animation,2020,72,6.2,English
Octonauts & the Great Barrier Reef,Animation,2020,47,7.3,English
Offering to the Storm,Thriller,2020,139,6.2,Spanish
Òlòt?ré,Crime,2020,106,5.5,English
Operation Christmas Drop,Romance,2020,96,5.8,English
Over the Moon,Animation,2020,95,6.4,English
Project Power,Action,2020,113,6,English
Raat Akeli Hai,Thriller,2020,149,7.3,Hindi
Rebecca,Thriller,2020,123,6,English
Rich in Love,Romance,2020,105,5.8,Portuguese
Rising Phoenix,Documentary,2020,106,8.1,English
Road to Roma,Documentary,2020,72,7.7,Spanish
Rogue City,Crime,2020,116,6.1,French
Rose Island,Comedy,2020,117,7,Italian
Sarah Cooper: Everything's Fine,Variety Show,2020,49,5.6,English
Secrets of the Saqqara Tomb,Documentary,2020,114,7.3,English
Sergio,Documentary,2020,118,6.1,English
Serious Men,Drama,2020,114,6.8,Hindi
Seriously Single,Comedy,2020,107,4.5,English
Shawn Mendes: In Wonder,Documentary,2020,83,6.6,English
Shawn Mendes: Live in Concert,Variety Show,2020,87,7.4,English
Sitara: Let Girls Dream,Animation,2020,15,7.3,English
Sol Levante,Animation,2020,4,4.7,English
Spelling the Dream,Documentary,2020,83,6.9,English
Spenser Confidential,Action,2020,111,6.2,English
The 40-Year-Old Version,Comedy,2020,124,7.2,English
The Babysitter: Killer Queen,Comedy,2020,102,5.8,English
The Beast,Drama,2020,99,5.2,Italian
The Binding,Drama,2020,93,4.7,Italian
The Boys in the Band,Drama,2020,121,6.8,English
The Boys in the Band: Something Personal,Documentary,2020,28,6.8,English
The Christmas Chronicles: Part Two,Comedy,2020,115,6,English
The Claudia Kishi Club,Documentary,2020,17,6.9,English
The Crimes That Bind,Crime,2020,99,6.6,Spanish
The Day of the Lord,Drama,2020,93,4.9,Spanish
The Decline,Thriller,2020,83,5.9,French
The Devil All the Time,Thriller,2020,138,7.1,English
The Half of It,Romance,2020,105,6.9,English
The Kissing Booth 2,Romance,2020,131,5.8,English
The Larva Island Movie,Animation,2020,90,5.1,English
The Last Days of American Crime,Crime,2020,149,3.7,English
The Last Thing He Wanted,Thriller,2020,115,4.3,English
The Life Ahead,Drama,2020,95,6.8,Italian
The Lovebirds,Romance,2020,87,6.1,English
The Main Event,Comedy,2020,101,4.8,English
The Midnight Sky,Science fiction,2020,118,5.6,English
The Occupant,Thriller,2020,103,6.4,Spanish
The Old Guard,Action,2020,124,6.7,English
The Paramedic,Thriller,2020,94,5.6,Spanish
The Players,Comedy,2020,88,4.6,Italian
The Princess Switch: Switched Again,Romance,2020,97,5.4,English
The Prom,Musical,2020,132,5.9,English
The Sleepover,Comedy,2020,103,5.6,English
The Social Dilemma,Documentary,2020,94,7.6,English
The Speed Cubers,Documentary,2020,40,7.4,English
The Three Deaths of Marisela Escobedo,Documentary,2020,109,8.2,Spanish
The Trial of the Chicago 7,Drama,2020,130,7.8,English
The Willoughbys,Animation,2020,90,6.4,English
The Wrong Missy,Comedy,2020,90,5.7,English
Tigertail,Drama,2020,91,6.5,English
To All the Boys: P.S. I Still Love You,Romance,2020,102,6,English
Ultras,Drama,2020,108,5.9,Italian
Uncorked,Drama,2020,103,6.3,English
Under the Riccione Sun,Romance,2020,101,5.4,Italian
Unknown Origins,Thriller,2020,96,6.1,Spanish
Vampires vs. the Bronx,Horror,2020,86,5.6,English
We Are One,Documentary,2020,86,4.6,French
We Can Be Heroes,Action,2020,100,4.7,English
What Did Jack Do?,Drama,2020,17,6.5,English
Work It,Comedy,2020,93,6.1,English
Yeh Ballet,Drama,2020,117,7.6,Hindi
You've Got This,Romance,2020,111,5.8,Spanish
A Week Away,Comedy,2021,97,5.7,English
Ajeeb Daastaans,Drama,2021,142,6.7,Hindi
Arlo the Alligator Boy,Animation,2021,92,6.7,English
Army of the Dead,Crime,2021,148,5.9,English
Bad Trip,Comedy,2021,86,6.6,English
Baggio: The Divine Ponytail,Documentary,2021,92,6.2,Italian
Below Zero,Drama,2021,106,6.2,Spanish
Biggie: I Got a Story to Tell,Documentary,2021,97,6.9,English
Blue Miracle,Drama,2021,95,6.7,English
Caught by a Wave,Romance,2021,99,5.7,Italian
Chadwick Boseman: Portrait of an Artist,Documentary,2021,21,6.5,English
Concrete Cowboy,Drama,2021,111,6.3,English
"Crack: Cocaine, Corruption & Conspiracy",Documentary,2021,89,6.7,English
Crazy About Her,Romance,2021,102,6.6,Spanish
Dolly Parton: A MusiCares Tribute,Documentary,2021,55,6.5,English
Double Dad,Comedy,2021,103,5.6,Portuguese
Finding 'Ohana,Comedy,2021,123,6.1,English
Get the Goat,Comedy,2021,97,6.3,Portuguese
Get the Grift,Comedy,2021,94,5.5,Portuguese
I Am All Girls,Thriller,2021,107,5.8,English
Madame Claude,Drama,2021,112,5.4,French
Malcolm & Marie,Romance,2021,106,6.7,English
Milestone,Drama,2021,98,6.6,Hindi
Monster,Drama,2021,98,6.5,English
Moxie,Drama,2021,111,6.7,English
Nail Bomber: Manhunt,Documentary,2021,72,6.3,English
Operation Varsity Blues: The College Admissions Scandal,Documentary,2021,99,7,English
Outside the Wire,Action,2021,114,5.4,English
Oxygen,Science fiction,2021,101,6.5,French
Pagglait,Comedy,2021,114,6.9,Hindi
Pele,Documentary,2021,108,7,English
Pieces of a Woman,Drama,2021,126,7.1,English
Sardar Ka Grandson,Comedy,2021,139,4.1,Hindi
Searching for Sheela,Documentary,2021,58,4.1,English
Seaspiracy,Documentary,2021,89,8.2,English
Sentinelle,Action,2021,80,4.7,French
"Strip Down, Rise Up",Documentary,2021,112,5.2,English
The Dig,Drama,2021,112,7.1,English
The Girl on the Train,Thriller,2021,120,4.4,Hindi
The Last Paradiso,Romance,2021,107,5.6,Italian
The Minimalists: Less Is Now,Documentary,2021,53,5.9,English
The Misadventures of Hedi and Cokeman,Comedy,2021,99,4.5,French
The White Tiger,Drama,2021,125,7.1,English
The Woman in the Window,Thriller,2021,100,5.7,English
Things Heard & Seen,Horror,2021,121,5.3,English
Thunder Force,Comedy,2021,105,4.4,English
To All the Boys: Always and Forever,Romance,2021,109,6.3,English
Tony Parker: The Final Shot,Documentary,2021,98,6.8,French
Tribhanga – Tedhi Medhi Crazy,Drama,2021,95,6.1,Hindi
What Would Sophia Loren Do?,Documentary,2021,32,6.6,English
Why Did You Kill Me?,Documentary,2021,83,5.6,English
Yes Day,Comedy,2021,86,5.7,English
